PassengerId,Survived
723,0
724,0
725,1
726,0
727,1
728,1
729,0
730,0
731,1
732,0
733,0
734,0
735,0
736,0
737,0
738,1
739,0
740,0
741,1
742,0
743,1
744,0
745,1
746,0
747,0
748,1
749,0
750,0
751,1
752,1
753,0
754,0
755,1
756,1
757,0
758,0
759,0
760,1
761,0
762,0
763,1
764,1
765,0
766,1
767,0
768,0
769,0
770,0
771,0
772,0
773,0
774,0
775,1
776,0
777,0
778,1
779,0
780,1
781,1
782,1
783,0
784,0
785,0
786,0
787,1
788,0
789,1
790,0
791,0
792,0
793,0
794,0
795,0
796,0
797,1
798,1
799,0
800,0
801,0
802,1
803,1
804,1
805,1
806,0
807,0
808,0
809,0
810,1
811,0
812,0
813,0
814,0
815,0
816,0
817,0
818,0
819,0
820,0
821,1
822,1
823,0
824,1
825,0
826,0
827,0
828,1
829,1
830,1
831,1
832,1
833,0
834,0
835,0
836,1
837,0
838,0
839,1
840,1
841,0
842,0
843,1
844,0
845,0
846,0
847,0
848,0
849,0
850,1
851,0
852,0
853,0
854,1
855,0
856,1
857,1
858,1
859,1
860,0
861,0
862,0
863,1
864,0
865,0
866,1
867,1
868,0
869,0
870,1
871,0
872,1
873,0
874,0
875,1
876,1
877,0
878,0
879,0
880,1
881,1
882,0
883,0
884,0
885,0
886,0
887,0
888,1
889,0
890,1
891,0